Row ID,Order ID,Order Status,Order_Purchase_Date,Order_Delivered_Date,Order_Estimated_Delivery_Date),Ship Mode,VendorID,Customer ID,Segment,State,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,surcharge ,total cost
1,CA-2016-152156,delivered,1/12/2018 0:00,43117,1/31/2018 0:00,Second Class,VEN02,CG-12520,Consumer,Kentucky,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,0,220.0464
2,CA-2016-152156,delivered,1/12/2018 0:00,43117,1/31/2018 0:00,Second Class,VEN02,CG-12520,Consumer,Kentucky,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,0,512.358
3,CA-2016-138688,delivered,7/24/2017 0:00,42955,8/11/2017 0:00,Second Class,VEN04,DV-13045,Corporate,California,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714,0,7.7486
4,US-2015-108966,delivered,3/7/2018 0:00,43175,3/28/2018 0:00,Standard Class,VEN01,SO-20335,Consumer,Florida,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,0.5,2010.91275
5,US-2015-108966,delivered,3/7/2018 0:00,43175,3/28/2018 0:00,Standard Class,VEN02,SO-20335,Consumer,Florida,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,0.5,29.7774
6,CA-2014-115812,delivered,6/5/2018 0:00,43262,7/16/2018 0:00,Standard Class,VEN01,BH-11710,Consumer,California,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694,0.5,52.0359
7,CA-2014-115812,delivered,6/5/2018 0:00,43262,7/16/2018 0:00,Standard Class,VEN05,BH-11710,Consumer,California,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656,0.5,7.9716
8,CA-2014-115812,delivered,6/5/2018 0:00,43262,7/16/2018 0:00,Standard Class,VEN05,BH-11710,Consumer,California,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,0.5,1224.6552
9,CA-2014-115812,delivered,6/5/2018 0:00,43262,7/16/2018 0:00,Standard Class,VEN01,BH-11710,Consumer,California,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,0.5,19.08225
10,CA-2014-115812,delivered,6/5/2018 0:00,43262,7/16/2018 0:00,Standard Class,VEN05,BH-11710,Consumer,California,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47,0.5,120.645
11,CA-2014-115812,delivered,6/5/2018 0:00,43262,7/16/2018 0:00,Standard Class,VEN05,BH-11710,Consumer,California,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,0.5,2431.3122
12,CA-2014-115812,delivered,6/5/2018 0:00,43262,7/16/2018 0:00,Standard Class,VEN03,BH-11710,Consumer,California,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,0.5,1264.6008
13,CA-2017-114412,delivered,2/15/2018 0:00,43173,3/20/2018 0:00,Standard Class,VEN05,AA-10480,Consumer,North Carolina,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,0.5,15.1632
14,CA-2016-161389,delivered,6/29/2017 0:00,42926,7/19/2017 0:00,Standard Class,VEN04,IM-15070,Consumer,Washington,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,0.5,413.0757
